Company,Year,Current Ratio,Gross Margin,Debt/Equity,Net Margin
Acme Manufacturing Ltd,2020,1.5876421245028514,0.8673714331416791,0.07262743713503947,-1.5461482817762533
Acme Manufacturing Ltd,2021,3.0794864428132476,0.8548843465641977,0.4322757552381815,-0.7870506702278115
Acme Manufacturing Ltd,2022,3.4109333800409956,0.9682938776163919,0.09438356219089396,0.30187505116222785
Acme Manufacturing Ltd,2023,4.67288599769455,0.7714157526645563,1.0062171771446569,0.18219037429368373
Banyan Retail Co,2020,2.513537113097586,0.7570815081561904,0.5314756617280549,0.1808532960683669
Banyan Retail Co,2021,1.705065795230575,0.036190131992312705,0.20619916817768355,-1.4828070712439492
Banyan Retail Co,2022,2.8880221437700584,0.46355089147479067,0.4423262934677069,-2.844341904355056
Banyan Retail Co,2023,4.923702527898028,-0.11390166943340603,0.5210806416555678,-1.5468585844806295
Coastal Tech Ltd,2020,2.6595517030991243,0.7615568333804935,0.18330280158639353,0.1743594460892191
Coastal Tech Ltd,2021,0.561032784219196,0.9458410901437198,0.2785075614133552,-0.04403853116841385
Coastal Tech Ltd,2022,1.497355441654077,0.6689321263372527,3.2001648683672794,-0.43930163886447265
Coastal Tech Ltd,2023,2.820819828360691,0.2183365393189722,0.04457258777184444,-1.0075802805697454
Emerald Energy Inc,2020,0.9865731878822,0.48323157541916334,0.47201735876754547,-0.08069130977892434
Emerald Energy Inc,2021,0.26879146143204413,-0.10620507243479971,0.3211209717709736,-2.11117805572711
Emerald Energy Inc,2022,3.984205868573114,0.7304995383252916,0.3648476920380796,-0.09334803982215213
Emerald Energy Inc,2023,0.6057853424475104,0.8045170831549584,0.8609429050746351,-0.03111315263977513
